DevEUI,Name,NwkKey,JoinEUI
a04e8a251d866300,fleet-device-044,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866301,fleet-device-045,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866302,fleet-device-046,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866303,fleet-device-047,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866304,fleet-device-048,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866305,fleet-device-049,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866306,fleet-device-050,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866307,fleet-device-051,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866308,fleet-device-052,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866309,fleet-device-053,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86630a,fleet-device-054,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86630b,fleet-device-055,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86630c,fleet-device-056,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86630d,fleet-device-057,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86630e,fleet-device-058,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86630f,fleet-device-059,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866310,fleet-device-060,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866311,fleet-device-061,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866312,fleet-device-062,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866313,fleet-device-063,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866314,fleet-device-064,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866315,fleet-device-065,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866316,fleet-device-066,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866317,fleet-device-067,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866318,fleet-device-068,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866319,fleet-device-069,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86631a,fleet-device-070,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86631b,fleet-device-071,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86631c,fleet-device-072,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86631d,fleet-device-073,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86631e,fleet-device-074,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86631f,fleet-device-075,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866320,fleet-device-076,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866321,fleet-device-077,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866322,fleet-device-078,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866323,fleet-device-079,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866324,fleet-device-080,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866325,fleet-device-081,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866326,fleet-device-082,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866327,fleet-device-083,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866328,fleet-device-084,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866329,fleet-device-085,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86632a,fleet-device-086,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86632b,fleet-device-087,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86632c,fleet-device-088,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86632d,fleet-device-089,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86632e,fleet-device-090,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d86632f,fleet-device-091,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866330,fleet-device-092,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866331,fleet-device-093,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866332,fleet-device-094,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866333,fleet-device-095,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866334,fleet-device-096,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866335,fleet-device-097,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866336,fleet-device-098,612e488816a88a28888659bce9e414fe,0000000000000000
a04e8a251d866337,fleet-device-099,612e488816a88a28888659bce9e414fe,0000000000000000
